draw,pearson_r,spearman_rho,cosine_similarity,sign_concordance,projection,frozen_score_log_hr
187,0.7458904375071949,0.6617391304347826,0.8324691340918462,0.7083333333333334,0.31722098434996787,0.1388321437987559
188,0.5972698001987325,0.4834782608695652,0.7136982282159792,0.5416666666666666,0.23494899868456576,0.10579650789003445
189,0.49645775951854065,0.36,0.7003034138691405,0.625,0.2378068485501781,0.10621804705802756
190,0.6599807379059599,0.5469565217391303,0.834396614198157,0.8333333333333334,0.28625488126614923,0.13239912485496605
191,0.179008214767285,0.1408695652173913,0.4389718692071609,0.5833333333333334,0.12311227642462401,0.057316588087004516
192,0.5680712365759775,0.4756521739130434,0.7904820115078738,0.875,0.3867700854749446,0.17274286575101436
193,0.39035813337519576,0.2965217391304348,0.7235180859243492,0.8333333333333334,0.26551616818294044,0.12169219609140372
194,0.6008089825458378,0.5234782608695652,0.8046534682344437,0.8333333333333334,0.31680679334550255,0.14241804704394584
195,0.26075053937366977,0.1417391304347826,0.6830218091344046,0.8333333333333334,0.23255750498243202,0.10758253661128903
196,0.6461558031315127,0.45217391304347826,0.6306705428926741,0.5833333333333334,0.1596788197909415,0.07200190346887912
197,0.5449829175568783,0.4460869565217391,0.7529414792276913,0.8333333333333334,0.2835970304419454,0.12310627903292441
198,0.662845873738634,0.5582608695652173,0.7862471117801682,0.625,0.2816799332204319,0.12790657146610437
199,0.4113601073728978,0.2860869565217391,0.7318791979656253,0.8333333333333334,0.23139625981565365,0.1040206733820259
200,0.7150127117642293,0.6069565217391303,0.5460479448720453,0.5833333333333334,0.11155571976324465,0.05413618540679216
201,0.437553150606373,0.3521739130434782,0.3106448114001506,0.5833333333333334,0.08782015150229316,0.036735997191345154
202,0.5793409411628218,0.49391304347826087,0.7845435125623433,0.8333333333333334,0.3027317228347036,0.1378874140350937
203,0.36622274259712007,0.24,0.6717941382788355,0.8333333333333334,0.23067037723961376,0.10516417038068737
204,0.6817165616284129,0.5913043478260869,0.841523528846892,0.8333333333333334,0.34334448948088503,0.15601936507918418
205,0.5768984562437184,0.4478260869565217,0.7554265448940828,0.75,0.2335620386682089,0.10706693584916363
206,0.5059758508786734,0.35130434782608694,0.7733234246036735,0.8333333333333334,0.32262854401105956,0.15039086967632542
207,0.25577692127673757,0.17652173913043476,0.49801559707344056,0.5,0.16155648807496076,0.07113332213040899
208,0.18581705417553862,0.03043478260869565,0.447329718254078,0.7083333333333334,0.08937594933003337,0.04077934835806257
209,0.5855551739314888,0.4434782608695652,0.7904428522379183,0.6666666666666666,0.30162234130327387,0.13719827476571045
210,0.36326906055268077,0.2817391304347826,0.6799205304168728,0.75,0.28102829710390703,0.12867614559140877
211,0.2324509930153428,0.11913043478260868,0.67739766697767,0.8333333333333334,0.2762136548527437,0.12677438691521853
212,0.5475552698338537,0.3208695652173913,0.7890665134139777,0.8333333333333334,0.22074867662915906,0.10403748789623841
213,0.5951994862716862,0.437391304347826,0.7607190919550215,0.6666666666666666,0.20515570194426858,0.09679328968863476
214,0.32588837419803995,0.248695652173913,0.7035297341303556,0.9166666666666666,0.3427127716487969,0.1551904572967657
