feature,lead,feature_family,n,deaths,hr_per_sd,ci95_lower,ci95_upper,p_value,concordance,adjustment_covariates,cohort,subgroup,analysis,bonferroni_alpha_24,bonferroni_significant,trim_lower,trim_upper
rs_diff_V2,V2,rs_diff,28644,1026,0.8543873553162065,0.8095165040749247,0.9017453618915453,1.0815157150320188e-08,0.8115475935170473,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,True,0.00555815882114128,0.14285714285709034
rs_diff_2_V2,V2,rs_diff_2,28644,1025,0.9235370537510941,0.8740475155231503,0.9758287444370185,0.0046446458508561375,0.8076849541003868,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0019972778314290233,0.09639272031022193
rs_diff_V3,V3,rs_diff,28644,1023,0.8815905219599892,0.8360629826136801,0.9295972487383863,3.1856697251350704e-06,0.8101626176913937,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,True,0.004957411440736443,0.1428571428571058
rs_diff_2_V3,V3,rs_diff_2,28644,1026,0.9228949006477617,0.8730380263301161,0.9755989681480162,0.004628730355642299,0.8091065680566039,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.001748525986322659,0.09720004771120164
rs_diff_V4,V4,rs_diff,28644,1024,0.9097768400513115,0.8623522893023985,0.9598094757344637,0.0005366811029038207,0.8089237969664779,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,True,0.004575901826347076,0.14285714285711718
rs_diff_2_V4,V4,rs_diff_2,28644,1024,0.9304780480724609,0.8792024655037565,0.9847440514724509,0.012719019787482527,0.8077334330467616,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0019197517207153614,0.09767303595426566
rs_diff_V5,V5,rs_diff,28644,1023,0.975651864126403,0.9245380913601375,1.029591499656806,0.3692921005304004,0.8080134453299697,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.004704051780163824,0.14285714285711495
rs_diff_2_V5,V5,rs_diff_2,28644,1023,1.021169647728083,0.9668010894342217,1.0785956499607823,0.45297651463712485,0.8077059613687595,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0020617414735278725,0.10516596078619803
rs_diff_V6,V6,rs_diff,28644,1021,0.9454667973009161,0.8965077278242651,0.9970995642925196,0.03873113109919272,0.8080666998194517,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0052851794791319694,0.1428571428570827
rs_diff_2_V6,V6,rs_diff_2,28644,1029,0.9987368048284365,0.945246738280285,1.0552537923946188,0.9641023293458104,0.8077786045981697,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF,CODE_discovery,all,feature_trim_0.5pct_each_tail,0.0020833333333333333,False,0.0024148375055464003,0.09666088478470236
rs_diff_I,I,rs_diff,14447,536,0.92923125468656,0.8518699579824803,1.0136180018970886,0.09792934002527671,0.8175079905437675,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_I,I,rs_diff_2,14447,536,0.9399923576381001,0.8507384390581154,1.0386102141996603,0.22408879500808151,0.8173201387707925,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_II,II,rs_diff,14447,536,0.9846632755490363,0.9126696653017734,1.0623359174476044,0.6899130695416316,0.8171276676919245,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_II,II,rs_diff_2,14447,536,0.9820358840466017,0.9081344165621469,1.0619512485894136,0.6497348399676526,0.817097043404709,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_III,III,rs_diff,14447,536,1.0241322226753038,0.9438988236587887,1.111185630527925,0.5667264590488768,0.8172387021187558,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_2_III,III,rs_diff_2,14447,536,0.9842794917286496,0.9047191737255971,1.0708362837587537,0.7125247540408117,0.8169866933194914,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
rs_diff_aVR,aVR,rs_diff,14447,536,0.9904282387318225,0.9164685831851659,1.0703564902008502,0.8080899450514896,0.8170482840647292,age;is_male;nn_predicted_age;1dAVb;RBBB;LBBB;SB;ST;AF;avl_qs_span_ms,CODE_replication_corrected,all,adjusted_for_aVL_QS_span,0.0020833333333333333,False,,
