lead,time_ms,score_group,median_normalized_amplitude,q25_normalized_amplitude,q75_normalized_amplitude,n_waveforms
V2,-352.5,Lower quintile,0.5899737742923369,0.4007056457803809,0.7120143043196084,323
V2,-350.0,Lower quintile,0.5820275830527221,0.40317763046617605,0.7124633341200173,323
V2,-347.5,Lower quintile,0.5853039773924531,0.4059159409135604,0.7101829320822337,323
V2,-345.0,Lower quintile,0.5848579026102595,0.39739241162908745,0.7120696653921551,323
V2,-342.5,Lower quintile,0.5884301147890354,0.39975619625434533,0.7114698373468946,323
V2,-340.0,Lower quintile,0.5853859939335094,0.40788956540296645,0.712239248428369,323
V2,-337.5,Lower quintile,0.586722314530837,0.4003080095731725,0.7126599439652065,323
V2,-335.0,Lower quintile,0.5864734114566736,0.3950411641625386,0.7121309136333331,323
V2,-332.5,Lower quintile,0.5853600916103836,0.39161338304447924,0.7115481448059255,323
V2,-330.0,Lower quintile,0.582747317000319,0.3893645737769308,0.7109854025392133,323
V2,-327.5,Lower quintile,0.5788060817526076,0.3930844974813372,0.7122695242509083,323
V2,-325.0,Lower quintile,0.5811973580006121,0.39707190428156414,0.7147709934381372,323
V2,-322.5,Lower quintile,0.5786789806163615,0.38874861796813764,0.7109544942654822,323
V2,-320.0,Lower quintile,0.5835768963993748,0.3953135290908615,0.7124661545645129,323
V2,-317.5,Lower quintile,0.5838727992145336,0.39223896870064234,0.7133045937094873,323
V2,-315.0,Lower quintile,0.5793366532275899,0.39850835960263287,0.7084789325569425,323
V2,-312.5,Lower quintile,0.5755930747193211,0.39428437189892684,0.7074633859182455,323
V2,-310.0,Lower quintile,0.5792522603704411,0.396453106526187,0.7112171013005352,323
V2,-307.5,Lower quintile,0.5782798272954575,0.3914971306376607,0.7102236728394136,323
V2,-305.0,Lower quintile,0.5793366532275899,0.38528031644631305,0.7042777029420788,323
V2,-302.5,Lower quintile,0.5793366532275899,0.390742124455041,0.7092682014303083,323
V2,-300.0,Lower quintile,0.5806562151455208,0.39145904322397385,0.7115288993476725,323
V2,-297.5,Lower quintile,0.5793366532275899,0.38734626238993985,0.7063654700064205,323
V2,-295.0,Lower quintile,0.5888623117296943,0.38977724943998737,0.7053106153212856,323
V2,-292.5,Lower quintile,0.5793366532275899,0.39074771433271194,0.7102365052663673,323
V2,-290.0,Lower quintile,0.5852208696187328,0.3910481887976429,0.7070872860259134,323
V2,-287.5,Lower quintile,0.5850705247763897,0.38703060156291347,0.7064727233157325,323
V2,-285.0,Lower quintile,0.5831338839536784,0.392646287946386,0.7071686236178777,323
V2,-282.5,Lower quintile,0.5800759959959593,0.39345358046752366,0.705452522782544,323
V2,-280.0,Lower quintile,0.5781539755510108,0.39391306292735273,0.7079899613919716,323
